11|811|0|33|34|357|494|1169|1|1|0|0.5545|4.5000|355.0000|29.1517|19.7846|25.5702|92.6240|80.3820|67.8354|9.2936|13.6694|8.4753|11.6834|0.7215|51.3600|42.0766|82.9183|22.8586|29436.0000|1.9231|3.7769|1.2021|37.1628|0.6686|0.6458|0.8572|99.9954|411.0000|355.0000|67.8354|-65.0000|60.0000|83.2045|84.0308|78.6359|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:41:28.875|P02_Jan2015_000001.tif
12|846|0|29|32|174|193|1405|1|1|0|0.5545|4.5000|243.0000|27.8911|17.0584|23.3133|82.3820|73.2873|41.3763|7.2582|12.9703|6.9637|10.4320|0.6681|45.6808|38.1426|79.5885|28.8125|19340.0000|2.2225|4.7728|1.1787|48.7013|0.5070|0.2983|0.7702|96.8155|292.0000|243.0000|41.3763|-40.0000|55.0000|79.4691|80.0988|77.1070|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:41:40.673|P02_Jan2015_000001.tif
13|877|0|50|59|446|203|1763|1|1|0|0.5545|4.5000|913.0000|56.2163|31.4545|45.8004|204.8400|143.9776|211.5091|16.4104|28.6767|14.9463|22.9011|0.4468|113.5838|77.3403|93.7492|23.7357|85593.0000|3.6572|9.3829|1.4506|40.8222|0.1495|0.1283|0.5203|98.7965|1292.5000|913.0000|211.5091|-55.0000|30.0000|91.4666|94.6627|95.1062|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:41:58.572|P02_Jan2015_000001.tif
14|929|0|58|59|723|832|1931|1|1|0|0.5545|4.5000|1664.0000|51.4645|46.4327|49.3072|176.9040|155.0014|416.4821|23.0278|26.0418|23.2517|24.8456|0.8883|98.0933|83.4530|54.3798|41.6917|90488.0000|1.4966|2.2591|1.1672|62.2593|0.8489|0.8140|0.9864|101.8851|1757.5000|1664.0000|416.4821|-35.0000|65.0000|54.0925|53.9898|57.2885|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:06.969|P02_Jan2015_000001.tif
15|989|0|30|42|1205|445|1968|1|1|0|0.5545|4.5000|450.0000|34.1359|21.3100|28.6307|101.1080|90.0030|91.2285|10.7776|16.4331|9.3211|13.3805|0.5890|56.0644|47.4114|69.4111|29.2124|31235.0000|1.8078|3.3838|1.1679|68.9891|0.5719|0.6579|0.8117|99.0816|519.0000|450.0000|91.2285|85.0000|5.0000|73.5356|69.1667|60.1289|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:08.821|P02_Jan2015_000001.tif
16|1021|0|66|160|216|490|2005|1|1|0|0.5545|4.5000|3942.0000|155.4364|57.0430|110.5364|546.8520|347.4808|1062.9633|36.7887|83.6942|29.1351|58.7972|0.2893|303.2294|190.1829|95.0847|30.4579|374824.0000|5.8963|16.4630|1.6870|37.5161|0.0000|0.3638|0.4369|98.4248|5627.5000|4036.0000|1090.0405|80.0000|-20.0000|88.9864|97.0698|102.3451|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:10.671|P02_Jan2015_000001.tif
17|1089|0|69|81|376|118|2019|1|1|0|0.5545|4.5000|3206.0000|82.2677|56.2039|70.4906|238.5980|221.5933|851.7813|32.9321|43.1222|28.6698|36.5918|0.7480|132.3026|120.3783|43.3780|19.1123|139070.0000|1.4131|1.9178|1.0948|70.1674|0.6243|0.6611|0.9295|97.5702|3310.0000|3206.0000|851.7813|-55.0000|10.0000|48.0970|43.2483|31.8044|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:11.374|P02_Jan2015_000001.tif
18|1160|0|32|40|999|53|2280|1|1|0|0.5545|4.5000|327.0000|34.5896|23.1272|28.7971|113.5920|90.5263|61.0859|8.8191|16.6847|10.3288|13.4728|0.5600|62.9868|47.7016|90.1560|24.0325|29481.0000|3.1401|7.7355|1.2990|40.9412|0.3936|0.0409|0.5175|99.4258|499.0000|327.0000|61.0859|65.0000|-10.0000|91.0471|92.3265|88.7794|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:24.419|P02_Jan2015_000001.tif
19|1194|0|39|35|665|179|2322|1|1|0|0.5545|4.5000|406.0000|31.2296|25.1039|28.6417|107.9360|90.0378|80.3086|10.1120|14.8216|11.4249|13.3866|0.7543|59.8505|47.4307|86.5099|17.0460|35123.0000|2.2835|4.9727|1.2433|45.7041|0.5380|0.4243|0.7853|104.9140|501.0000|406.0000|80.3086|35.0000|-65.0000|86.6108|87.8325|79.6404|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:26.521|P02_Jan2015_000001.tif
20|0|162|45|40|246|51|2359|1|1|0|0.5545|4.5000|689.0000|44.0097|27.4807|35.2535|121.5920|110.8225|152.3646|13.9283|21.9081|12.7428|17.0528|0.5668|67.4228|58.9559|46.7808|16.1642|32232.0000|1.7076|3.0350|1.1333|70.3364|0.4442|0.4217|0.7548|95.2948|767.5000|689.0000|152.3646|35.0000|-70.0000|49.0435|46.6531|41.7402|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:28.370|P02_Jan2015_000001.tif
21|47|162|50|59|180|183|2411|1|1|0|0.5545|4.5000|1346.0000|55.1519|39.3287|48.3881|190.2160|152.1123|328.7719|20.4598|28.0865|19.3125|24.3360|0.6622|105.4748|81.8510|81.3351|26.9489|109477.0000|2.1391|4.4980|1.2769|36.9244|0.5418|0.6841|0.8463|96.1541|1602.0000|1346.0000|328.7719|50.0000|-5.0000|84.5267|83.1679|63.5498|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:30.969|P02_Jan2015_000001.tif
22|99|162|31|35|657|433|2833|1|1|0|0.5545|4.5000|404.0000|27.6670|23.0000|25.9570|91.1080|81.5980|79.8155|10.0809|12.8461|10.2583|11.8979|0.7233|50.5194|42.7508|93.6584|32.8338|37838.0000|1.6350|2.7764|1.1656|39.5976|0.6748|0.5233|0.8851|105.4348|443.5000|404.0000|79.8155|75.0000|0.0000|90.4975|94.9332|95.5297|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:52.068|P02_Jan2015_000001.tif
23|132|162|67|77|940|184|2930|1|1|0|0.5545|4.5000|2462.0000|69.5993|58.1188|64.9823|249.2860|204.2775|640.1976|28.5504|36.0976|29.7317|33.5374|0.7492|138.2291|110.7766|75.8327|30.5681|186700.0000|2.0086|4.0642|1.2400|45.7336|0.5221|0.4922|0.8701|101.3699|2932.5000|2462.0000|640.1976|75.0000|-10.0000|79.2957|76.1003|65.5049|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:56.919|P02_Jan2015_000001.tif
24|201|162|55|55|489|816|2947|1|1|0|0.5545|4.5000|1224.0000|50.6588|37.2599|45.4549|171.4900|142.8913|295.4349|19.3948|25.5951|18.1653|22.7095|0.6941|95.0912|76.7380|85.5392|24.4856|104700.0000|1.9120|3.7393|1.2282|46.5478|0.5728|0.5710|0.8690|101.3314|1392.0000|1224.0000|295.4349|25.0000|-40.0000|85.8529|85.8472|83.2925|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:57.774|P02_Jan2015_000001.tif
25|258|162|37|43|581|243|2950|1|1|0|0.5545|4.5000|703.0000|36.1708|28.9790|32.9849|117.8340|103.6908|156.0185|14.0943|17.5615|13.5736|15.7949|0.7905|65.3390|55.0013|95.2319|27.6486|66948.0000|1.5717|2.5447|1.1750|34.6667|0.7001|0.5526|0.9437|101.7675|746.5000|703.0000|156.0185|75.0000|-10.0000|92.5121|96.0953|97.9929|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:57.917|P02_Jan2015_000001.tif
26|297|162|34|37|792|689|2976|1|1|0|0.5545|4.5000|545.0000|30.5417|25.4691|28.7934|96.6240|90.5147|115.2096|12.1115|14.4401|11.6274|13.4707|0.8865|53.5780|47.6952|88.8110|34.4810|48402.0000|1.3632|1.6915|1.1117|45.1556|0.8020|0.6525|0.9655|103.7440|558.5000|545.0000|115.2096|-65.0000|5.0000|87.7193|89.9321|85.9156|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:59.217|P02_Jan2015_000001.tif
27|333|162|80|105|1167|453|2985|1|1|0|0.5545|4.5000|4284.0000|97.5088|63.4595|83.1424|327.7060|261.3654|1161.5778|38.4573|51.5734|32.6931|43.6072|0.6756|181.7130|142.4319|44.6786|19.1512|191403.0000|1.9948|4.0181|1.2692|69.7220|0.5020|0.5970|0.9026|99.1536|4786.5000|4284.0000|1161.5778|-80.0000|25.0000|49.1027|44.5509|33.9015|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:42:59.669|P02_Jan2015_000001.tif
28|415|162|39|31|450|748|2997|1|1|0|0.5545|4.5000|318.0000|32.0483|18.2056|25.5833|94.0380|80.4233|58.9332|8.6623|15.2755|7.5998|11.6907|0.5058|52.1441|42.0995|89.9497|22.7110|28604.0000|2.2129|4.7412|1.2191|41.1149|0.4879|0.4796|0.7137|101.2679|389.5000|318.0000|58.9332|15.0000|-55.0000|88.7241|90.8871|88.1850|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:00.272|P02_Jan2015_000001.tif
29|456|162|35|35|678|512|3016|1|1|0|0.5545|4.5000|229.0000|27.2996|22.4186|25.4894|107.1080|80.1281|38.1893|6.9731|12.6424|9.9359|11.6386|0.8386|59.3914|41.9358|83.4192|22.7396|19103.0000|3.9866|10.4283|1.3867|56.6939|0.4939|0.4905|0.5773|104.9012|403.0000|229.0000|38.1893|80.0000|-60.0000|82.3930|83.8384|84.2838|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:01.218|P02_Jan2015_000001.tif
30|493|162|52|60|1197|725|3025|1|1|0|0.5545|4.5000|1247.0000|52.3289|42.0122|47.8177|179.1460|150.3192|301.7043|19.5995|26.5211|20.8005|24.0197|0.7404|99.3365|80.8567|65.9310|21.1960|82216.0000|2.0480|4.1958|1.2184|58.1963|0.5491|0.5166|0.8474|97.7850|1533.5000|1247.0000|301.7043|85.0000|-45.0000|69.2805|66.8648|60.2292|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:01.669|P02_Jan2015_000001.tif
31|547|162|38|35|812|59|3026|1|1|0|0.5545|4.5000|547.0000|32.7770|26.5116|30.0913|102.2800|94.5948|115.7196|12.1383|15.6796|12.2054|14.1904|0.7687|56.7143|49.9575|76.6344|30.1906|41919.0000|1.5219|2.3569|1.1236|61.5000|0.7229|0.6840|0.9269|101.2358|584.0000|547.0000|115.7196|-25.0000|75.0000|77.6600|76.7770|73.3620|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:01.721|P02_Jan2015_000001.tif
32|587|162|28|37|166|468|3026|1|1|0|0.5545|4.5000|371.0000|29.2692|19.9277|24.8857|83.4520|78.2302|71.7251|9.5563|13.7345|8.5547|11.3038|0.6364|46.2741|40.8834|78.0836|24.2400|28969.0000|1.4938|2.2481|1.1179|53.8158|0.6334|0.5119|0.8491|97.9638|394.5000|371.0000|71.7251|80.0000|5.0000|76.4570|79.2876|77.0726|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:01.721|P02_Jan2015_000001.tif
33|617|162|99|125|949|473|3029|1|1|0|0.5545|4.5000|4590.0000|128.7996|73.6219|106.2622|500.6740|334.0445|1250.0299|39.8947|68.9241|38.3281|56.4271|0.5775|277.6237|182.7324|74.2978|19.9302|341027.0000|4.3460|11.5668|1.5109|52.0972|0.2184|0.3923|0.6734|102.9266|6521.5000|4590.0000|1250.0299|-55.0000|25.0000|78.3580|74.6500|62.1714|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:01.869|P02_Jan2015_000001.tif
34|718|162|42|51|440|838|3035|1|1|0|0.5545|4.5000|694.0000|43.5305|30.2237|38.0159|143.8340|119.5064|153.6688|13.9878|21.6424|14.2638|18.5846|0.7110|79.7560|63.7710|84.3948|25.2091|58570.0000|2.3722|5.2625|1.2371|38.7863|0.4584|0.4405|0.7550|100.8570|898.5000|694.0000|153.6688|-65.0000|20.0000|84.4135|84.8329|82.2075|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:02.169|P02_Jan2015_000001.tif
35|762|162|53|41|630|145|3059|1|1|0|0.5545|4.5000|818.0000|48.5028|26.2545|37.9412|138.4200|119.2715|186.2605|15.3998|24.3996|12.0629|18.5432|0.5399|76.7539|63.6408|87.9340|27.0988|71930.0000|1.8640|3.5761|1.1941|49.4444|0.5226|0.6337|0.8126|102.9165|900.0000|818.0000|186.2605|20.0000|-65.0000|88.4743|88.3888|84.3044|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:03.369|P02_Jan2015_000001.tif
36|817|162|35|61|204|772|3079|1|1|0|0.5545|4.5000|971.0000|54.3340|27.0000|41.8297|146.4200|131.4952|227.0249|17.0017|27.6329|12.4763|20.6993|0.5126|81.1899|70.4189|79.9887|25.9429|77669.0000|1.7570|3.2081|1.1440|54.7463|0.4478|0.7130|0.7742|99.1146|1037.5000|971.0000|227.0249|75.0000|0.0000|79.6265|80.8076|77.2644|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:04.372|P02_Jan2015_000001.tif
37|854|162|41|32|1156|913|3082|1|1|0|0.5545|4.5000|508.0000|33.3821|23.8117|28.5618|98.7640|89.7864|105.8108|11.6070|16.0151|10.7084|13.3423|0.7837|54.7646|47.2913|83.4016|35.5049|42368.0000|1.5280|2.3802|1.1446|41.9545|0.7339|0.6100|0.9268|97.5290|533.5000|508.0000|105.8108|10.0000|70.0000|83.4902|84.3780|78.4114|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:04.517|P02_Jan2015_000001.tif
38|897|162|40|42|814|406|3083|1|1|0|0.5545|4.5000|660.0000|37.2474|26.3590|32.6191|113.9360|102.5411|144.8173|13.5789|18.1585|12.1208|15.5921|0.6830|63.1775|54.3638|87.3242|33.6731|57634.0000|1.5652|2.5204|1.1502|46.6346|0.6488|0.6711|0.8928|105.2583|717.5000|660.0000|144.8173|65.0000|-40.0000|87.6288|87.8985|83.7121|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:04.569|P02_Jan2015_000001.tif
39|939|162|41|39|338|328|3095|1|1|0|0.5545|4.5000|426.0000|37.0461|29.5988|33.1999|171.5920|104.3669|85.2556|10.4188|18.0468|13.9173|15.9141|0.7264|95.1478|55.3762|82.7324|22.1535|35244.0000|5.5002|15.2135|1.6825|58.2750|0.3528|0.3110|0.5398|98.4174|717.0000|426.0000|85.2556|-35.0000|-75.0000|81.2183|83.5258|82.5704|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:05.168|P02_Jan2015_000001.tif
40|982|162|35|40|433|91|3120|1|1|0|0.5545|4.5000|443.0000|32.2307|23.8117|28.0319|100.1780|88.1206|89.4825|10.6739|15.3767|10.7084|13.0484|0.7757|55.5487|46.3676|82.9932|26.9309|36766.0000|1.8027|3.3664|1.1823|45.4494|0.6648|0.5965|0.8826|97.9028|479.0000|443.0000|89.4825|85.0000|20.0000|81.8149|84.0835|80.7765|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:06.418|P02_Jan2015_000001.tif
41|1019|162|48|19|138|590|3126|1|1|0|0.5545|4.5000|131.0000|40.0000|10.9619|28.1057|100.3820|88.3526|17.0998|4.6661|19.6848|3.5831|13.0893|0.1416|55.6618|46.4963|84.4962|18.1602|11069.0000|6.1211|17.1718|1.1815|29.6737|0.1061|0.2207|0.1437|97.8909|253.0000|131.0000|17.0998|0.0000|85.0000|80.0977|85.5789|88.8947|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:06.718|P02_Jan2015_000001.tif
42|1069|162|30|31|603|353|3129|1|1|0|0.5545|4.5000|345.0000|26.4822|21.9712|23.8643|81.4520|75.0196|65.4161|9.1264|12.1891|9.6878|10.7375|0.7944|45.1651|39.1031|93.4319|29.8213|32234.0000|1.5303|2.3890|1.1391|40.8243|0.7215|0.6068|0.9005|103.6581|369.5000|345.0000|65.4161|-50.0000|80.0000|90.8957|94.4464|94.7797|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:06.868|P02_Jan2015_000001.tif
43|1101|162|107|286|273|88|3137|1|1|0|0.5545|4.5000|8396.0000|278.3404|82.2656|196.2639|856.3800|616.9728|2361.6981|54.8362|151.8445|43.1210|106.3331|0.2304|474.8627|339.6162|75.1844|28.2354|631248.0000|6.8936|19.6058|1.4459|43.1794|0.0000|0.1108|0.2369|97.1145|16164.0000|8466.0000|2382.2862|85.0000|-10.0000|77.3059|76.0030|65.5698|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:07.269|P02_Jan2015_000001.tif
44|1210|162|49|35|974|872|3137|1|1|0|0.5545|4.5000|471.0000|42.7429|23.4198|34.3884|150.1780|108.1028|96.4854|11.0837|21.2057|10.4911|16.5731|0.4583|83.2737|57.4478|83.3992|24.7345|39281.0000|3.8105|9.8697|1.4263|54.3597|0.2921|0.0391|0.5293|100.3044|695.0000|471.0000|96.4854|15.0000|-80.0000|83.9809|83.1571|83.2972|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:07.269|P02_Jan2015_000001.tif
45|0|450|40|52|1203|554|3163|1|1|0|0.5545|4.5000|808.0000|44.2722|31.6694|37.0045|140.7640|116.3270|183.6159|15.2901|22.0537|15.0654|18.0238|0.7059|78.0536|62.0081|77.2463|22.1190|62415.0000|1.9515|3.8725|1.2445|53.4692|0.6456|0.6584|0.9003|98.4474|917.5000|808.0000|183.6159|-85.0000|15.0000|78.9047|77.5916|71.2748|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:08.568|P02_Jan2015_000001.tif
46|42|450|40|38|535|486|3166|1|1|0|0.5545|4.5000|619.0000|36.4808|29.2199|32.2159|114.0380|101.2734|134.1993|13.0716|17.7333|13.7072|15.3685|0.7916|63.2341|53.6609|89.6769|30.6309|55510.0000|1.6719|2.9085|1.1656|47.7477|0.6584|0.6043|0.8927|102.7146|674.5000|619.0000|134.1993|-30.0000|-75.0000|88.3296|90.4620|89.2843|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:08.719|P02_Jan2015_000001.tif
47|84|450|43|44|696|289|3176|1|1|0|0.5545|4.5000|825.0000|39.8315|29.6962|35.3956|119.2480|111.2690|188.1134|15.4762|19.5913|13.9713|17.1316|0.7187|66.1230|59.2034|91.3358|29.7951|75352.0000|1.3716|1.7316|1.1077|46.3208|0.6710|0.6239|0.9149|107.6000|841.0000|825.0000|188.1134|-55.0000|50.0000|91.4958|91.9297|88.1721|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:09.218|P02_Jan2015_000001.tif
48|129|450|55|53|1136|807|3195|1|1|0|0.5545|4.5000|1162.0000|56.2163|30.6985|45.3147|169.3880|142.4506|278.5730|18.8332|28.6767|14.5271|22.6317|0.5503|93.9256|76.4936|71.7608|30.1319|83386.0000|1.9649|3.9178|1.2172|65.1118|0.3964|0.3648|0.7785|98.2364|1300.5000|1162.0000|278.5730|-35.0000|45.0000|74.4552|71.6239|65.6231|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:43:10.176|P02_Jan2015_000001.tif
